fdc_id	name	Protein	Lipids	Saturated Fats	Monounsaturated Fats	Polyunsaturated	Carbohydrates	Total Sugars	Dietary Fiber	Water	Calcium	Iron	Magnesium	Phosphorus	Potassium	Sodium	Zinc	Copper	Iodine	Manganese	Selenium	Vitamin A	Vitamin E	Vitamin D	Vitamin C	Thiamin	Riboflavin	Niacin	Pantothenic acid	Vitamin B-6	Folate, total	Vitamin B-12	Choline	Vitamin K	Tryptophan	Threonine	Isoleucine	Leucine	Lysine	Methionine	Phenylalanine	Valine	Histidine
2644290	Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed	7.30625	1.299	0	0	0	21.44675	0	0	68.93	60.25	1.305	25.49	93.56	209.4	158.5	0.526	0.2713	0	0.3453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2644291	Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed	4.734375	1.153	0	0	0	12.707625	0	0	80.53	28.21	1.139	21.91	77.74	109.2	207.4	0.712	0.1233	0	0.2849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2644292	Beans, pinto, canned, sodium added, drained and rinsed	6.69375	1.266	0	0	0	19.60025	0	0	71.33	55.23	1.284	27.49	83.11	209.6	201.6	0.6248	0.2546	0	0.3168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2644293	Blackeye pea, canned, sodium added, drained and rinsed	6.925	1.296	0	0	0	19.1659	0	0	71.62	27.78	1.084	27.26	83.03	138.1	226.7	0.655	0.2846	0	0.2224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2644294	Beans, great northern, canned, sodium added, drained and rinsed	7.03125	1.266	0	0	0	19.32875	0	0	71.16	67.16	1.382	29.3	88.61	213.1	223.1	0.6349	0.2558	0	0.4628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2646168	Pork, loin, boneless, raw	21.11875	9.469	3.285	3.946	1.379	-0.48175	0	0	68.82	4.111	0.4519	21.96	196.8	361.2	40.2	1.57	0.0382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2646169	Pork, loin, tenderloin, boneless, raw	21.58125	3.899	0.8663	0.8625	0.4175	-0.59425	0	0	73.93	4.528	0.9293	24.66	217.4	397.4	41.39	1.773	0.07724	0	0.002588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2646170	Chicken, breast, boneless, skinless, raw	22.525	1.934	0.3488	0.3688	0.2963	-0.368	0	0	74.78	3.939	0.3543	26.2	214.9	330.1	65.75	0.6545	0.003638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2646171	Chicken, thigh, boneless, skinless, raw	18.6125	7.916	1.658	2.239	1.42	-0.406	0	0	72.92	5.65	0.6018	21.8	178.3	271.8	62.33	1.348	0.04235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2646172	Beef, ribeye, steak, boneless, choice, raw	18.74375	20.04	7.966	7.731	0.6286	-0.30625	0	0	60.63	4.173	1.641	16.68	149.7	288	42.54	4.063	0.04263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2646173	Beef, round, top round, boneless, choice, raw	21.475	5.703	1.695	1.7	0.2383	0.852	0	0	70.88	4.07	1.901	22.08	192.3	351.5	45.54	3.778	0.05515	0	0.002875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2646174	Beef, chuck, roast, boneless, choice, raw	18.4	17.8	6.341	7.021	0.5557	-0.5238	0	0	63.43	4.576	2.059	16.99	151	281.1	48.44	5.386	0.05405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2646175	Beef, flank, steak, boneless, choice, raw	20.13125	9.399	3.551	3.589	0.3143	-0.30405	0	0	69.78	3.836	1.834	18.86	167.3	331.8	51.3	5.563	0.04471	0	0.001688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2647437	Yogurt, plain, nonfat	4.22675	0.0875	0	0	0	8.07675	0	0	86.57	167.4	0	15.21	127	210.5	51.48	0.5989	0	58.72	0	0	0	0	0.217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2647438	Cheese, monterey jack, solid	22.6171	32.63	19.16	6.679	0	1.8979	0	0	39.18	714.6	0	29.6	470.9	82.94	662.2	3.785	0	35.9	0.01113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2647439	Cheese, pasteurized process cheese food or product, American, singles	15.5672	23.86	13.7	4.886	0	8.1898	0	0	44.78	1498	1.303	34.6	880	211.8	1420	2.379	0	52.53	0.06518	0	0	0	4.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2647440	Cheese, provolone, sliced	23.45288	28.13	16.24	5.738	0	2.45312	0	0	42.34	748.8	0	29.5	494.1	94.84	600.9	3.89	0	64.27	0.02996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2647441	Cheese, oaxaca, solid	22.14498	22.1	12.71	4.736	0	2.40202	0	0	49.8	532.3	0	21.58	380.4	80.73	734.2	3.506	0	45.72	0.02061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2647442	Cheese, queso fresco, solid	18.8848	23.36	13.95	4.964	0	2.9572	0	0	51.38	601.8	0	27.64	389.8	126.4	626.5	2.908	0	79.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2647443	Cheese, cotija, solid	23.83568	27.24	15.89	5.931	0	2.72432	0	0	40	699.6	0	29.9	485.5	116.7	1625	3.597	0	64.75	0.01704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2684440	Fish, salmon, sockeye, wild caught, raw	22.3	4.936	0	0	0	-0.91	0	0	72.51	14.84	0.4024	26.15	226.3	329.7	53.3	0.4246	0.0616	18.38	0	30.2	0	0	0	0	0	0	0	0	0	0	5.16	0	0	0	0	0	0	0	0	0	0	0
2684441	Fish, salmon, Atlantic, farm raised, raw	20.31875	13.11	0	0	0	-0.49275	0	0	65.84	9.423	0.2588	25.39	230.3	378.2	49.49	0.3394	0.02469	3.242	0	22.8	0	0	0	0	0	0	0	0	0	0	5.696	0	0	0	0	0	0	0	0	0	0	0
2684442	Fish, tilapia, farm raised, raw	19	2.479	0	0	0	-0.913	0	0	78.28	8.628	0	24.28	159.4	342.4	93.66	0.2995	0	4.145	0.005325	20.51	0	0	0	0	0	0	0	0	0	0	0.7594	0	0	0	0	0	0	0	0	0	0	0
2684443	Crustaceans, shrimp, farm raised, raw	15.56875	0.8013	0	0	0	0.48495	0	0	81.28	64.63	0.5223	22.53	190.6	145.9	474.9	0.9368	0.2084	13.64	0.02866	19.48	0	0	0	0	0	0	0	0	0	0	0.9963	0	0	0	0	0	0	0	0	0	0	0
2684444	Fish, cod, Atlantic, wild caught, raw	16.06875	0.6675	0	0	0	-1.07425	0	0	82.86	6.59	0.065	17.98	224.1	245.1	298.8	0.3051	0.003963	113.7	0	22.79	0	0	0	0	0	0	0	0	0	0	1.248	0	0	0	0	0	0	0	0	0	0	0
2684445	Fish, catfish, farm raised, raw	16.46875	7.308	0	0	0	-0.63365	0	0	75.89	7.796	0	20.63	166.2	292.3	60.51	0.4749	0	1.94	0.00165	9.281	0	0	0	0	0	0	0	0	0	0	2.266	0	0	0	0	0	0	0	0	0	0	0
2684446	Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated	18.65	0.8075	0	0	0	-0.2185	0	0	78.88	110.9	0.6319	43.08	278.5	234.8	331.3	3.478	1.088	44.48	0.1478	45.79	0	0	0	0	0	0	0	0	0	0	3.116	0	0	0	0	0	0	0	0	0	0	0
2685570	Squash, winter, butternut, raw	1.14875	0.1675	0	0	0	10.50745	0	1.959	87.32	21.74	0.2129	14.95	26.53	329.1	0	0.193	0.0733	0	0.07538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2685571	Squash, winter, acorn, raw	1.25	0.1825	0	0	0	10.48	0	2.635	87.22	24.82	0.3078	23.75	42.04	332.1	0	0.2935	0.08685	0	0.1871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2685572	Cabbage, bok choy, raw	1.02375	0.2338	0	0	0	3.51495	0	1.259	94.54	61.93	0.4388	13.64	30.51	227.8	14.27	0.2738	0.02758	0	0.1962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2685573	Cauliflower, raw	1.640625	0.2375	0	0	0	4.723075	0	1.948	92.72	20.35	0.3338	14.2	39.69	274.4	20	0.2344	0.02423	0	0.141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
